Date,Price,Exogenous 1,Exogenous 2,Exogenous 3,Exogenous 4,Exogenous 5,Exogenous 6
2018-10-01 00:00:00,43.92,6473.0,0.0,9456.0,48749.0,13927.0,2092.0
2018-10-01 01:00:00,41.52,6436.0,0.0,9319.0,47795.0,13618.0,2092.0
2018-10-01 02:00:00,37.5,6274.0,0.0,9196.0,47233.0,13393.0,2093.0
2018-10-01 03:00:00,35.14,6223.0,0.0,9268.0,46771.0,13207.0,2095.0
2018-10-01 04:00:00,39.81,6337.0,0.0,9258.0,48534.0,13530.0,2088.0
2018-10-01 05:00:00,47.41,6895.0,0.0,9927.0,52947.0,14636.0,2088.0
2018-10-01 06:00:00,63.0,8128.0,0.0,9900.0,58005.0,17502.0,2174.0
2018-10-01 07:00:00,75.91,8648.0,84.0,10345.0,64887.0,18884.0,2370.0
2018-10-01 08:00:00,78.0,8810.0,329.0,10743.0,69410.0,19249.0,2368.0
2018-10-01 09:00:00,73.67,8899.0,601.0,10980.0,74233.0,18822.0,2222.0
2018-10-01 10:00:00,66.3,8791.0,789.0,10998.0,77328.0,18573.0,2213.0
2018-10-01 11:00:00,65.54,8867.0,835.0,10990.0,79708.0,18610.0,2120.0
2018-10-01 12:00:00,60.09,8863.0,802.0,10708.0,81190.0,18735.0,2077.0
2018-10-01 13:00:00,56.06,8748.0,674.0,10565.0,81358.0,18608.0,2071.0
2018-10-01 14:00:00,56.0,8661.0,478.0,10370.0,81186.0,18401.0,2069.0
2018-10-01 15:00:00,62.33,8655.0,329.0,10252.0,79584.0,18259.0,2069.0
2018-10-01 16:00:00,64.12,8579.0,190.0,10235.0,77570.0,18043.0,2084.0
2018-10-01 17:00:00,66.0,8479.0,80.0,10148.0,76092.0,18133.0,2129.0
2018-10-01 18:00:00,74.01,8579.0,12.0,10256.0,73376.0,18946.0,2237.0
2018-10-01 19:00:00,79.0,8824.0,0.0,10371.0,75500.0,19622.0,2374.0
2018-10-01 20:00:00,72.0,8450.0,0.0,10294.0,72204.0,18944.0,2252.0
2018-10-01 21:00:00,59.94,7864.0,0.0,10136.0,69198.0,17962.0,2204.0
2018-10-01 22:00:00,52.0,7373.0,0.0,10050.0,65642.0,16073.0,2106.0
2018-10-01 23:00:00,43.0,6970.0,0.0,9991.0,60570.0,14998.0,2083.0
2018-10-02 00:00:00,41.83,6702.0,0.0,9274.0,57485.0,14525.0,2072.0
2018-10-02 01:00:00,40.93,6514.0,0.0,8928.0,56075.0,14487.0,2073.0
2018-10-02 02:00:00,38.86,6396.0,0.0,8892.0,55579.0,14371.0,2075.0
2018-10-02 03:00:00,37.8,6335.0,0.0,8872.0,55684.0,14293.0,2122.0
2018-10-02 04:00:00,39.52,6453.0,0.0,8867.0,56874.0,14511.0,2143.0
2018-10-02 05:00:00,45.0,7011.0,0.0,9266.0,59028.0,15867.0,2163.0
2018-10-02 06:00:00,58.0,8144.0,0.0,9652.0,66111.0,17670.0,2197.0
2018-10-02 07:00:00,66.5,8542.0,48.0,9905.0,70898.0,19307.0,2394.0
2018-10-02 08:00:00,69.75,8598.0,229.0,10153.0,76571.0,19577.0,2414.0
2018-10-02 09:00:00,63.0,8713.0,379.0,10157.0,78991.0,19677.0,2410.0
2018-10-02 10:00:00,59.71,8631.0,540.0,10248.0,83305.0,19631.0,2405.0
2018-10-02 11:00:00,58.37,8661.0,693.0,10357.0,86394.0,19909.0,2338.0
2018-10-02 12:00:00,57.6,8687.0,749.0,10376.0,87101.0,20083.0,2321.0
2018-10-02 13:00:00,50.69,8585.0,687.0,10333.0,85509.0,20278.0,2230.0
2018-10-02 14:00:00,42.2,8500.0,505.0,10044.0,83693.0,20098.0,2187.0
2018-10-02 15:00:00,55.0,8544.0,368.0,10043.0,82035.0,20113.0,2187.0
2018-10-02 16:00:00,59.6,8492.0,216.0,9941.0,79835.0,20069.0,2212.0
2018-10-02 17:00:00,57.5,8349.0,80.0,9819.0,79426.0,19632.0,2226.0
2018-10-02 18:00:00,56.13,8384.0,11.0,9762.0,78527.0,20072.0,2473.0
2018-10-02 19:00:00,60.1,8614.0,0.0,10036.0,78955.0,20743.0,2708.0
2018-10-02 20:00:00,47.41,8263.0,0.0,9874.0,76138.0,20121.0,2489.0
2018-10-02 21:00:00,39.2,7716.0,0.0,9674.0,73131.0,18804.0,2197.0
2018-10-02 22:00:00,31.01,7237.0,0.0,9222.0,70000.0,17709.0,2120.0
2018-10-02 23:00:00,23.17,6810.0,0.0,9114.0,66471.0,16479.0,2121.0
2018-10-03 00:00:00,30.6,6533.0,0.0,8045.0,60978.0,15649.0,2320.0
2018-10-03 01:00:00,22.23,6573.0,0.0,8043.0,60722.0,15654.0,2317.0
2018-10-03 02:00:00,16.0,6459.0,0.0,7730.0,60115.0,15608.0,2318.0
2018-10-03 03:00:00,1.0,6405.0,0.0,7689.0,60069.0,15724.0,2328.0
2018-10-03 04:00:00,13.0,6527.0,0.0,7763.0,60129.0,16077.0,2328.0
2018-10-03 05:00:00,30.81,7091.0,0.0,8391.0,59773.0,16755.0,2344.0
2018-10-03 06:00:00,62.0,8242.0,0.0,8850.0,60012.0,18386.0,2357.0
2018-10-03 07:00:00,59.0,8652.0,32.0,9440.0,60314.0,19927.0,2437.0
2018-10-03 08:00:00,59.0,8722.0,162.0,9618.0,62889.0,20703.0,2496.0
2018-10-03 09:00:00,57.1,8853.0,328.0,9733.0,66300.0,20980.0,2521.0
2018-10-03 10:00:00,52.0,8777.0,525.0,9869.0,69981.0,20958.0,2514.0
2018-10-03 11:00:00,50.87,8816.0,725.0,10088.0,73940.0,21209.0,2546.0
2018-10-03 12:00:00,52.0,8847.0,803.0,10190.0,75896.0,21233.0,2564.0
2018-10-03 13:00:00,49.0,8746.0,759.0,10134.0,74921.0,21048.0,2522.0
2018-10-03 14:00:00,50.0,8663.0,664.0,9814.0,71765.0,20641.0,2493.0
2018-10-03 15:00:00,57.04,8712.0,630.0,9800.0,68175.0,20470.0,2458.0
2018-10-03 16:00:00,55.0,8659.0,407.0,9487.0,64855.0,20022.0,2434.0
2018-10-03 17:00:00,64.5,8520.0,180.0,9570.0,62243.0,20149.0,2389.0
2018-10-03 18:00:00,73.17,8556.0,26.0,9587.0,58792.0,20762.0,2598.0
2018-10-03 19:00:00,79.5,8744.0,0.0,9737.0,59780.0,21191.0,2626.0
2018-10-03 20:00:00,70.0,8368.0,0.0,9532.0,57910.0,20435.0,2579.0
2018-10-03 21:00:00,60.81,7812.0,0.0,9229.0,55224.0,18637.0,2340.0
2018-10-03 22:00:00,56.2,7326.0,0.0,8972.0,54516.0,17483.0,2290.0
2018-10-03 23:00:00,46.5,6888.0,0.0,8805.0,52715.0,16501.0,2293.0
2018-10-04 00:00:00,53.0,6602.0,0.0,7458.0,53118.0,16360.0,2159.0
2018-10-04 01:00:00,50.0,6593.0,0.0,7428.0,51257.0,15978.0,2162.0
2018-10-04 02:00:00,46.8,6458.0,0.0,7404.0,51462.0,15713.0,2164.0
2018-10-04 03:00:00,47.0,6385.0,0.0,7404.0,52620.0,15867.0,2167.0
2018-10-04 04:00:00,46.6,6497.0,0.0,7510.0,54167.0,16149.0,2167.0
2018-10-04 05:00:00,53.93,7060.0,0.0,7834.0,56940.0,16821.0,2169.0
2018-10-04 06:00:00,71.9,8213.0,0.0,9236.0,62641.0,18535.0,2259.0
2018-10-04 07:00:00,82.72,8622.0,74.0,9781.0,67803.0,19894.0,2469.0
2018-10-04 08:00:00,85.0,8679.0,334.0,10079.0,73193.0,20407.0,2543.0
2018-10-04 09:00:00,78.14,8788.0,639.0,10154.0,77561.0,20088.0,2377.0
2018-10-04 10:00:00,73.18,8691.0,918.0,10397.0,81326.0,19785.0,2337.0
