Date,Price,Exogenous 1,Exogenous 2,Exogenous 3,Exogenous 4,Exogenous 5,Exogenous 6
2018-10-01 00:00:00,43.92,2730.0,1.0,2092.0,13927.0,9456.0,3254.75
2018-10-01 01:00:00,41.52,2660.0,1.0,2092.0,13618.0,9319.0,3199.0
2018-10-01 02:00:00,37.5,2650.0,1.0,2093.0,13393.0,9196.0,3120.75
2018-10-01 03:00:00,35.14,2720.0,1.0,2095.0,13207.0,9268.0,3090.5
2018-10-01 04:00:00,39.81,2850.0,1.0,2088.0,13530.0,9258.0,3104.25
2018-10-01 05:00:00,51.95,3110.0,1.0,2088.0,14636.0,9927.0,3203.0
2018-10-01 06:00:00,73.94,3530.0,2.0,2174.0,17502.0,9900.0,3349.75
2018-10-01 07:00:00,83.94,3660.0,32.0,2370.0,18884.0,10345.0,3376.0
2018-10-01 08:00:00,89.93,3690.0,84.0,2368.0,19249.0,10743.0,3395.5
2018-10-01 09:00:00,87.7,3670.0,143.0,2222.0,18822.0,10980.0,3425.0
2018-10-01 10:00:00,80.61,3650.0,155.0,2213.0,18573.0,10998.0,3449.25
2018-10-01 11:00:00,81.99,3660.0,161.0,2120.0,18610.0,10990.0,3466.75
2018-10-01 12:00:00,76.08,3700.0,155.0,2077.0,18735.0,10708.0,3453.75
2018-10-01 13:00:00,74.69,3620.0,137.0,2071.0,18608.0,10565.0,3442.0
2018-10-01 14:00:00,78.22,3580.0,108.0,2069.0,18401.0,10370.0,3415.5
2018-10-01 15:00:00,83.08,3510.0,53.0,2069.0,18259.0,10252.0,3363.0
2018-10-01 16:00:00,86.33,3470.0,33.0,2084.0,18043.0,10235.0,3323.5
2018-10-01 17:00:00,86.82,3520.0,8.0,2129.0,18133.0,10148.0,3288.5
2018-10-01 18:00:00,108.71,3700.0,1.0,2237.0,18946.0,10256.0,3281.75
2018-10-01 19:00:00,113.86,3720.0,1.0,2374.0,19622.0,10371.0,3312.25
2018-10-01 20:00:00,107.21,3520.0,1.0,2252.0,18944.0,10294.0,3315.5
2018-10-01 21:00:00,79.87,3250.0,1.0,2204.0,17962.0,10136.0,3358.0
2018-10-01 22:00:00,69.44,3100.0,1.0,2106.0,16073.0,10050.0,3410.75
2018-10-01 23:00:00,54.54,3020.0,1.0,2083.0,14998.0,9991.0,3348.25
2018-10-02 00:00:00,44.84,2960.0,1.0,2072.0,14525.0,9274.0,3265.5
2018-10-02 01:00:00,40.93,2850.0,1.0,2073.0,14487.0,8928.0,3219.0
2018-10-02 02:00:00,38.86,2840.0,1.0,2075.0,14371.0,8892.0,3148.75
2018-10-02 03:00:00,37.8,2860.0,1.0,2122.0,14293.0,8872.0,3110.5
2018-10-02 04:00:00,39.52,3010.0,1.0,2143.0,14511.0,8867.0,3115.75
2018-10-02 05:00:00,48.02,3250.0,1.0,2163.0,15867.0,9266.0,3175.0
2018-10-02 06:00:00,76.55,3600.0,2.0,2197.0,17670.0,9652.0,3512.75
2018-10-02 07:00:00,93.31,3660.0,31.0,2394.0,19307.0,9905.0,3550.25
2018-10-02 08:00:00,95.87,3760.0,71.0,2414.0,19577.0,10153.0,3559.75
2018-10-02 09:00:00,89.85,3750.0,131.0,2410.0,19677.0,10157.0,3598.25
2018-10-02 10:00:00,83.19,3720.0,146.0,2405.0,19631.0,10248.0,3621.0
2018-10-02 11:00:00,81.38,3770.0,151.0,2338.0,19909.0,10357.0,3590.5
2018-10-02 12:00:00,77.85,3760.0,156.0,2321.0,20083.0,10376.0,3596.25
2018-10-02 13:00:00,74.21,3640.0,136.0,2230.0,20278.0,10333.0,3588.5
2018-10-02 14:00:00,75.24,3620.0,81.0,2187.0,20098.0,10044.0,3648.5
2018-10-02 15:00:00,76.73,3590.0,51.0,2187.0,20113.0,10043.0,3678.75
2018-10-02 16:00:00,77.89,3520.0,31.0,2212.0,20069.0,9941.0,3719.5
2018-10-02 17:00:00,82.06,3510.0,9.0,2226.0,19632.0,9819.0,3744.0
2018-10-02 18:00:00,104.98,3820.0,1.0,2473.0,20072.0,9762.0,3759.5
2018-10-02 19:00:00,115.09,3770.0,1.0,2708.0,20743.0,10036.0,3760.0
2018-10-02 20:00:00,96.49,3550.0,1.0,2489.0,20121.0,9874.0,3768.5
2018-10-02 21:00:00,59.8,3290.0,1.0,2197.0,18804.0,9674.0,3697.75
2018-10-02 22:00:00,47.9,3150.0,1.0,2120.0,17709.0,9222.0,3566.5
2018-10-02 23:00:00,37.7,3100.0,1.0,2121.0,16479.0,9114.0,3448.25
2018-10-03 00:00:00,43.0,2930.0,2.0,2320.0,15649.0,8045.0,3237.5
2018-10-03 01:00:00,28.11,2850.0,2.0,2317.0,15654.0,8043.0,3244.5
2018-10-03 02:00:00,17.95,2840.0,2.0,2318.0,15608.0,7730.0,3215.25
2018-10-03 03:00:00,15.06,2900.0,2.0,2328.0,15724.0,7689.0,3209.75
2018-10-03 04:00:00,23.51,3000.0,2.0,2328.0,16077.0,7763.0,3206.25
2018-10-03 05:00:00,46.1,3250.0,2.0,2344.0,16755.0,8391.0,3211.5
2018-10-03 06:00:00,66.56,3720.0,2.0,2357.0,18386.0,8850.0,3348.25
2018-10-03 07:00:00,83.77,3770.0,8.0,2437.0,19927.0,9440.0,3407.0
2018-10-03 08:00:00,90.01,3830.0,25.0,2496.0,20703.0,9618.0,3445.5
2018-10-03 09:00:00,87.05,3840.0,52.0,2521.0,20980.0,9733.0,3500.0
2018-10-03 10:00:00,69.45,3790.0,82.0,2514.0,20958.0,9869.0,3559.25
2018-10-03 11:00:00,80.0,3800.0,107.0,2546.0,21209.0,10088.0,3602.25
2018-10-03 12:00:00,76.51,3800.0,132.0,2564.0,21233.0,10190.0,3603.75
2018-10-03 13:00:00,65.0,3700.0,122.0,2522.0,21048.0,10134.0,3584.75
2018-10-03 14:00:00,60.19,3690.0,97.0,2493.0,20641.0,9814.0,3568.75
2018-10-03 15:00:00,57.04,3630.0,62.0,2458.0,20470.0,9800.0,3520.5
2018-10-03 16:00:00,55.3,3620.0,37.0,2434.0,20022.0,9487.0,3459.75
