Date,Price,Exogenous 1,Exogenous 2,Exogenous 3,Exogenous 4,Exogenous 5,Exogenous 6
2018-10-01 00:00:00,59.53,5509.0,1253.0,4388,48749.0,9456.0,3254.75
2018-10-01 01:00:00,56.1,5247.0,1188.0,4257,47795.0,9319.0,3199.0
2018-10-01 02:00:00,51.41,5159.0,983.0,4131,47233.0,9196.0,3120.75
2018-10-01 03:00:00,47.38,5050.0,920.0,4128,46771.0,9268.0,3090.5
2018-10-01 04:00:00,47.59,5189.0,861.0,4309,48534.0,9258.0,3104.25
2018-10-01 05:00:00,51.61,5828.0,762.0,4501,52947.0,9927.0,3203.0
2018-10-01 06:00:00,69.13,6998.0,651.0,5723,58005.0,9900.0,3349.75
2018-10-01 07:00:00,77.32,7781.0,588.0,6637,64887.0,10345.0,3376.0
2018-10-01 08:00:00,84.97,8010.0,620.0,7042,69410.0,10743.0,3395.5
2018-10-01 09:00:00,79.56,7961.0,750.0,6827,74233.0,10980.0,3425.0
2018-10-01 10:00:00,73.7,7998.0,832.0,6728,77328.0,10998.0,3449.25
2018-10-01 11:00:00,72.0,8033.0,843.0,6519,79708.0,10990.0,3466.75
2018-10-01 12:00:00,65.2,7799.0,865.0,6066,81190.0,10708.0,3453.75
2018-10-01 13:00:00,62.05,7745.0,818.0,5590,81358.0,10565.0,3442.0
2018-10-01 14:00:00,61.96,7667.0,801.0,5186,81186.0,10370.0,3415.5
2018-10-01 15:00:00,62.41,7640.0,899.0,5304,79584.0,10252.0,3363.0
2018-10-01 16:00:00,61.98,7641.0,984.0,5324,77570.0,10235.0,3323.5
2018-10-01 17:00:00,60.42,7726.0,1150.0,5523,76092.0,10148.0,3288.5
2018-10-01 18:00:00,69.93,7866.0,1559.0,7568,73376.0,10256.0,3281.75
2018-10-01 19:00:00,75.0,7884.0,2088.0,7969,75500.0,10371.0,3312.25
2018-10-01 20:00:00,68.9,7498.0,2174.0,7202,72204.0,10294.0,3315.5
2018-10-01 21:00:00,58.97,6866.0,2081.0,5562,69198.0,10136.0,3358.0
2018-10-01 22:00:00,51.86,6514.0,1968.0,5400,65642.0,10050.0,3410.75
2018-10-01 23:00:00,47.48,5986.0,1923.0,5325,60570.0,9991.0,3348.25
2018-10-02 00:00:00,49.05,5509.0,1932.0,4961,57485.0,9274.0,3265.5
2018-10-02 01:00:00,47.77,5247.0,1999.0,4957,56075.0,8928.0,3219.0
2018-10-02 02:00:00,46.17,5159.0,2030.0,4823,55579.0,8892.0,3148.75
2018-10-02 03:00:00,45.04,5050.0,1911.0,4849,55684.0,8872.0,3110.5
2018-10-02 04:00:00,45.34,5189.0,1771.0,4916,56874.0,8867.0,3115.75
2018-10-02 05:00:00,48.83,5828.0,1644.0,5123,59028.0,9266.0,3175.0
2018-10-02 06:00:00,57.84,6998.0,1511.0,5952,66111.0,9652.0,3512.75
2018-10-02 07:00:00,69.53,7781.0,1403.0,8007,70898.0,9905.0,3550.25
2018-10-02 08:00:00,71.43,8010.0,1372.0,8148,76571.0,10153.0,3559.75
2018-10-02 09:00:00,60.12,7961.0,1429.0,7095,78991.0,10157.0,3598.25
2018-10-02 10:00:00,55.79,7998.0,1452.0,6389,83305.0,10248.0,3621.0
2018-10-02 11:00:00,53.51,8033.0,1483.0,6075,86394.0,10357.0,3590.5
