Date,Price,Exogenous 1,Exogenous 2,Exogenous 3,Exogenous 4,Exogenous 5,Exogenous 6
2018-10-01 00:00:00,59.53,8049.25,905.0,6881.0,49016.0,13421.0,48749.0
2018-10-01 01:00:00,56.1,7791.0,1028.0,6725.0,47546.0,13028.0,47795.0
2018-10-01 02:00:00,51.41,7645.5,1115.0,5599.0,46878.0,12553.0,47233.0
2018-10-01 03:00:00,47.38,7539.5,1199.0,5561.0,47039.0,12530.0,46771.0
2018-10-01 04:00:00,47.59,7688.75,1282.0,5638.0,47128.0,12508.0,48534.0
2018-10-01 05:00:00,51.61,8229.0,1307.0,5858.0,48728.0,13601.0,52947.0
2018-10-01 06:00:00,69.13,9414.5,1329.0,7356.0,54208.0,15417.0,58005.0
2018-10-01 07:00:00,77.32,10507.25,1363.0,8073.0,57619.0,15558.0,64887.0
2018-10-01 08:00:00,84.97,10818.75,1541.0,8503.0,59453.0,14917.0,69410.0
2018-10-01 09:00:00,79.56,11081.0,1925.0,8984.0,61445.0,14025.0,74233.0
2018-10-01 10:00:00,73.7,11123.5,2273.0,9148.0,62794.0,12981.0,77328.0
2018-10-01 11:00:00,73.17,11178.0,2578.0,9450.0,63156.0,12551.0,79708.0
2018-10-01 12:00:00,69.95,10866.75,2815.0,9699.0,62927.0,12229.0,81190.0
2018-10-01 13:00:00,66.23,10881.0,2938.0,9952.0,62439.0,12309.0,81358.0
2018-10-01 14:00:00,57.4,10668.0,2948.0,9677.0,61500.0,12217.0,81186.0
2018-10-01 15:00:00,55.32,10594.5,2849.0,9463.0,60137.0,12319.0,79584.0
2018-10-01 16:00:00,55.3,10564.0,2583.0,9227.0,59066.0,12583.0,77570.0
2018-10-01 17:00:00,60.42,10812.0,2186.0,9065.0,59232.0,12990.0,76092.0
2018-10-01 18:00:00,69.93,10916.75,1702.0,8636.0,59847.0,14175.0,73376.0
2018-10-01 19:00:00,75.0,10779.25,1366.0,8434.0,60673.0,15861.0,75500.0
2018-10-01 20:00:00,85.07,10674.5,1169.0,8222.0,60611.0,16275.0,72204.0
2018-10-01 21:00:00,85.65,10156.25,959.0,8094.0,59338.0,15697.0,69198.0
2018-10-01 22:00:00,83.07,9822.75,751.0,7838.0,57659.0,15939.0,65642.0
2018-10-01 23:00:00,76.15,9365.75,577.0,7660.0,56525.0,15274.0,60570.0
2018-10-02 00:00:00,73.47,8788.5,328.0,7084.0,52551.0,14215.0,57485.0
2018-10-02 01:00:00,68.41,8330.0,351.0,7114.0,49594.0,13915.0,56075.0
2018-10-02 02:00:00,58.96,8105.0,468.0,6828.0,48481.0,13783.0,55579.0
2018-10-02 03:00:00,55.5,8067.75,673.0,5891.0,48402.0,14009.0,55684.0
