Date,Price,Exogenous 1,Exogenous 2,Exogenous 3,Exogenous 4,Exogenous 5,Exogenous 6
2018-10-01 00:00:00,59.53,11286.25,1241.25,13421.0,6881.0,48749.0,0
2018-10-01 01:00:00,56.1,10849.0,1203.25,13028.0,6725.0,47795.0,0
2018-10-01 02:00:00,51.41,10624.0,1307.5,12553.0,5599.0,47233.0,0
2018-10-01 03:00:00,47.38,10641.25,1396.75,12530.0,5561.0,46771.0,0
2018-10-01 04:00:00,47.59,10723.25,1396.0,12508.0,5638.0,48534.0,0
2018-10-01 05:00:00,51.61,11236.75,1377.5,13601.0,5858.0,52947.0,0
2018-10-01 06:00:00,69.13,12646.0,1534.5,15417.0,7356.0,58005.0,0
2018-10-01 07:00:00,77.32,14340.5,1659.75,15558.0,8073.0,64887.0,0
2018-10-01 08:00:00,84.97,15453.75,1950.0,14917.0,8503.0,69410.0,0
2018-10-01 09:00:00,79.56,15333.0,2546.75,14025.0,8984.0,74233.0,0
2018-10-01 10:00:00,73.7,14945.5,3056.0,12981.0,9148.0,77328.0,0
2018-10-01 11:00:00,63.0,14531.75,3756.25,12551.0,9450.0,79708.0,0
2018-10-01 12:00:00,56.19,14035.25,4353.25,12229.0,9699.0,81190.0,0
2018-10-01 13:00:00,53.6,14037.75,4609.0,12309.0,9952.0,81358.0,0
2018-10-01 14:00:00,52.3,14103.75,4600.0,12217.0,9677.0,81186.0,0
2018-10-01 15:00:00,53.0,14212.25,4256.0,12319.0,9463.0,79584.0,0
2018-10-01 16:00:00,53.37,14603.75,3938.75,12583.0,9227.0,77570.0,0
2018-10-01 17:00:00,60.42,15055.75,3585.25,12990.0,9065.0,76092.0,0
2018-10-01 18:00:00,69.93,15137.25,3023.25,14175.0,8636.0,73376.0,0
2018-10-01 19:00:00,75.0,15254.5,2509.0,15861.0,8434.0,75500.0,0
2018-10-01 20:00:00,69.6,15763.5,2195.25,16275.0,8222.0,72204.0,0
2018-10-01 21:00:00,60.0,15256.5,1938.5,15697.0,8094.0,69198.0,0
2018-10-01 22:00:00,53.7,14356.25,1717.0,15939.0,7838.0,65642.0,0
2018-10-01 23:00:00,52.3,13390.25,1396.0,15274.0,7660.0,60570.0,0
2018-10-02 00:00:00,58.72,11964.75,1097.75,14215.0,7084.0,57485.0,0
2018-10-02 01:00:00,56.57,11258.5,977.0,13915.0,7114.0,56075.0,0
2018-10-02 02:00:00,49.0,10946.75,950.5,13783.0,6828.0,55579.0,0
2018-10-02 03:00:00,46.0,10902.5,1107.0,14009.0,5891.0,55684.0,0
2018-10-02 04:00:00,45.76,10932.5,1320.75,14145.0,5978.0,56874.0,0
2018-10-02 05:00:00,47.99,11275.25,1632.5,14885.0,6959.0,59028.0,0
2018-10-02 06:00:00,57.7,12615.5,2024.0,16025.0,7885.0,66111.0,0
2018-10-02 07:00:00,69.58,14347.0,2419.25,16932.0,8433.0,70898.0,0
2018-10-02 08:00:00,70.36,15141.75,2764.25,16335.0,8689.0,76571.0,0
2018-10-02 09:00:00,74.96,15192.5,2986.25,14628.0,9041.0,78991.0,0
2018-10-02 10:00:00,64.1,14455.75,3120.5,13349.0,9053.0,83305.0,0
2018-10-02 11:00:00,51.7,13891.0,3102.75,12970.0,9097.0,86394.0,0
2018-10-02 12:00:00,51.6,13663.0,2971.75,12869.0,9057.0,87101.0,0
2018-10-02 13:00:00,51.5,13719.0,2915.75,13228.0,8805.0,85509.0,0
2018-10-02 14:00:00,52.0,13799.25,2987.0,13589.0,8689.0,83693.0,0
2018-10-02 15:00:00,51.7,13195.75,3168.75,13563.0,8543.0,82035.0,0
2018-10-02 16:00:00,51.5,14375.75,3231.5,13967.0,8414.0,79835.0,0
2018-10-02 17:00:00,55.0,14940.0,3082.75,15096.0,8356.0,79426.0,0
2018-10-02 18:00:00,51.7,14928.0,2759.75,16457.0,8739.0,78527.0,0
2018-10-02 19:00:00,51.4,14888.25,2401.75,17963.0,8796.0,78955.0,0
2018-10-02 20:00:00,98.15,15278.0,2184.0,18350.0,8711.0,76138.0,0
2018-10-02 21:00:00,69.9,14755.75,2203.25,17349.0,8695.0,73131.0,0
2018-10-02 22:00:00,60.1,13860.25,2272.25,15970.0,8343.0,70000.0,0
2018-10-02 23:00:00,51.0,13011.0,2393.75,15267.0,8092.0,66471.0,0
2018-10-03 00:00:00,42.8,12185.5,2333.5,14586.0,7567.0,60978.0,0
2018-10-03 01:00:00,40.0,11489.25,2492.5,13728.0,7793.0,60722.0,0
2018-10-03 02:00:00,42.0,11198.75,2630.5,12935.0,7366.0,60115.0,0
