Date,Price,Exogenous 1,Exogenous 2,Exogenous 3,Exogenous 4,Exogenous 5,Exogenous 6
2018-10-01 00:00:00,43.92,3634.0,0.0,3254.75,4388,2092.0,1305.0
2018-10-01 01:00:00,41.52,3542.75,0.0,3199.0,4257,2092.0,1309.0
2018-10-01 02:00:00,37.5,3497.75,0.0,3120.75,4131,2093.0,1309.0
2018-10-01 03:00:00,35.14,3439.25,0.0,3090.5,4128,2095.0,1208.0
2018-10-01 04:00:00,39.81,3558.5,0.0,3104.25,4309,2088.0,1280.0
2018-10-01 05:00:00,51.95,3915.75,0.0,3203.0,4501,2088.0,1453.0
2018-10-01 06:00:00,73.94,4658.75,0.0,3349.75,5723,2174.0,1477.0
2018-10-01 07:00:00,83.94,5030.0,0.0,3376.0,6637,2370.0,1769.0
2018-10-01 08:00:00,89.93,5031.75,0.0,3395.5,7042,2368.0,2076.0
2018-10-01 09:00:00,87.7,5038.5,0.0,3425.0,6827,2222.0,2170.0
2018-10-01 10:00:00,80.61,5051.25,0.0,3449.25,6728,2213.0,1983.0
2018-10-01 11:00:00,81.99,5092.0,0.0,3466.75,6519,2120.0,2066.0
2018-10-01 12:00:00,76.08,5115.75,0.0,3453.75,6066,2077.0,2048.0
2018-10-01 13:00:00,74.69,5101.75,0.0,3442.0,5590,2071.0,2050.0
2018-10-01 14:00:00,78.22,5121.5,0.0,3415.5,5186,2069.0,2094.0
2018-10-01 15:00:00,83.08,5114.5,0.0,3363.0,5304,2069.0,2154.0
2018-10-01 16:00:00,86.33,5107.75,0.0,3323.5,5324,2084.0,2144.0
2018-10-01 17:00:00,86.82,5093.0,0.0,3288.5,5523,2129.0,2019.0
2018-10-01 18:00:00,108.71,5149.0,0.0,3281.75,7568,2237.0,2086.0
2018-10-01 19:00:00,113.86,5450.75,0.0,3312.25,7969,2374.0,2158.0
2018-10-01 20:00:00,107.21,5194.5,0.0,3315.5,7202,2252.0,2104.0
2018-10-01 21:00:00,79.87,4838.25,0.0,3358.0,5562,2204.0,1932.0
2018-10-01 22:00:00,69.44,4622.75,0.0,3410.75,5400,2106.0,1540.0
2018-10-01 23:00:00,54.54,4432.0,0.0,3348.25,5325,2083.0,1452.0
2018-10-02 00:00:00,44.84,4161.25,0.0,3265.5,4961,2072.0,1534.0
2018-10-02 01:00:00,40.93,4029.0,0.0,3219.0,4957,2073.0,1449.0
2018-10-02 02:00:00,38.86,3804.25,0.0,3148.75,4823,2075.0,1447.0
2018-10-02 03:00:00,37.8,3705.0,0.0,3110.5,4849,2122.0,1447.0
2018-10-02 04:00:00,39.52,3790.5,0.0,3115.75,4916,2143.0,1451.0
2018-10-02 05:00:00,48.02,4117.75,0.0,3175.0,5123,2163.0,1477.0
2018-10-02 06:00:00,76.55,4792.25,0.0,3512.75,5952,2197.0,1774.0
2018-10-02 07:00:00,93.31,5118.5,0.0,3550.25,8007,2394.0,2149.0
2018-10-02 08:00:00,95.87,5153.0,0.0,3559.75,8148,2414.0,2393.0
2018-10-02 09:00:00,89.85,5170.25,0.0,3598.25,7095,2410.0,2458.0
2018-10-02 10:00:00,83.19,5187.0,0.0,3621.0,6389,2405.0,2303.0
2018-10-02 11:00:00,81.38,5211.25,0.0,3590.5,6075,2338.0,2325.0
2018-10-02 12:00:00,77.85,5227.0,0.0,3596.25,5715,2321.0,2198.0
2018-10-02 13:00:00,74.21,5198.5,0.0,3588.5,5385,2230.0,2218.0
2018-10-02 14:00:00,75.24,5181.75,0.0,3648.5,5259,2187.0,2073.0
2018-10-02 15:00:00,76.73,5199.0,0.0,3678.75,5201,2187.0,2004.0
2018-10-02 16:00:00,77.89,5166.0,0.0,3719.5,5163,2212.0,2052.0
2018-10-02 17:00:00,82.06,5109.25,0.0,3744.0,5245,2226.0,2192.0
2018-10-02 18:00:00,104.98,5162.75,0.0,3759.5,5778,2473.0,2301.0
2018-10-02 19:00:00,115.09,5431.25,0.0,3760.0,5685,2708.0,2365.0
2018-10-02 20:00:00,96.49,5226.25,0.0,3768.5,5556,2489.0,2284.0
2018-10-02 21:00:00,59.8,4848.5,0.0,3697.75,4910,2197.0,1822.0
2018-10-02 22:00:00,53.95,4539.75,0.0,3566.5,4811,2120.0,1821.0
2018-10-02 23:00:00,37.7,4374.0,0.0,3448.25,4582,2121.0,1433.0
2018-10-03 00:00:00,43.0,4235.5,0.0,3237.5,4037,2320.0,1496.0
2018-10-03 01:00:00,28.11,4054.5,0.0,3244.5,3965,2317.0,1364.0
2018-10-03 02:00:00,17.95,3791.0,0.0,3215.25,3973,2318.0,1276.0
2018-10-03 03:00:00,15.06,3710.25,0.0,3209.75,4012,2328.0,1287.0
2018-10-03 04:00:00,23.51,3812.25,0.0,3206.25,4115,2328.0,1284.0
2018-10-03 05:00:00,46.1,4187.75,0.0,3211.5,4329,2344.0,1473.0
2018-10-03 06:00:00,66.56,4950.5,0.0,3348.25,6200,2357.0,1772.0
2018-10-03 07:00:00,83.77,5249.25,0.0,3407.0,6847,2437.0,2061.0
2018-10-03 08:00:00,90.01,5282.0,0.0,3445.5,7049,2496.0,2172.0
2018-10-03 09:00:00,87.05,5352.5,0.0,3500.0,7022,2521.0,2132.0
2018-10-03 10:00:00,71.36,5344.25,0.0,3559.25,6622,2514.0,1984.0
2018-10-03 11:00:00,81.21,5354.0,0.0,3602.25,6593,2546.0,2036.0
2018-10-03 12:00:00,76.51,5323.0,0.0,3603.75,6367,2564.0,1951.0
2018-10-03 13:00:00,69.83,5270.75,0.0,3584.75,6355,2522.0,1990.0
2018-10-03 14:00:00,60.19,5254.25,0.0,3568.75,6579,2493.0,1925.0
2018-10-03 15:00:00,57.04,5187.0,0.0,3520.5,6397,2458.0,1909.0
2018-10-03 16:00:00,55.3,5145.0,0.0,3459.75,6250,2434.0,1951.0
2018-10-03 17:00:00,70.04,5124.0,0.0,3429.5,6323,2389.0,1991.0
2018-10-03 18:00:00,87.55,5292.0,0.0,3392.75,7806,2598.0,2148.0
2018-10-03 19:00:00,104.95,5515.75,0.0,3407.75,7866,2626.0,2226.0
2018-10-03 20:00:00,87.31,5302.0,0.0,3387.75,7468,2579.0,2038.0
