Date,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
2023-02-01,90.69177326886698,83.8291483507468,81.01758666982754,78.80725124567742,85.94454168745858,103.63214801764714,142.86213480031472,175.95977496968675,187.97520425698374,171.8788594893925,160.59095671774125,152.11391637972136,148.01958874885517,149.10914742392148,151.59421180255913,170.18077734781153,191.76741600146397,210.01715763159498,203.1968187597725,202.82825585234497,179.40168636476318,172.1487313189289,158.8182206156703,126.00384390865302
2023-02-02,123.7288362956869,121.94399704553135,115.92859501070694,106.38681088245903,119.339764561119,120.54695077284009,147.31041643502942,180.34584286677318,187.5133617825415,180.62909708391308,159.14085336327526,157.0440954303393,158.08707997541248,159.07237123823032,165.81671313330463,185.5978907157346,206.9430388919842,212.51716424140685,213.07433849465457,197.7321550076862,172.60625088880914,166.08883126318088,157.56110405858766,132.004598632452
2023-02-03,127.56700901437672,119.0583954235562,111.38697639562754,109.88654827607114,117.2305611896342,133.08994556114686,166.8806263663632,191.64137455664968,203.81487139830918,199.9520124150026,184.70864223843097,176.27452799669237,169.67201987794107,170.57332406619403,176.77120381195502,181.68194156254907,185.3481821222335,200.36032953891987,186.95754870275664,170.25583163587675,162.09621942320416,147.93671942531344,147.62866482632955,127.6417882535832
2023-02-04,104.34195257957589,99.90719945810781,94.35850268588777,90.25627965232874,92.67912828011103,98.37734799218174,102.28613493556973,118.17181866490888,132.69199284274555,133.7628203473867,124.1959767183665,118.97432122023183,114.25301589923403,115.57488657402573,119.16497745653783,132.8289741547759,146.34020651807583,169.43999712728055,165.433966320658,151.01647237969743,133.3702217901553,127.74988996924314,114.49859589932858,106.41094026028856
2023-02-05,116.90044442421254,111.3642289650102,107.24761268758839,105.85305157368371,105.28294650262329,98.94774444913621,88.53011587278213,81.58551917518592,99.7324900487345,99.3402471591538,107.10346321281399,117.0211192840377,115.65338756806864,103.7608856884917,110.2115064262063,124.45008213309595,133.4510972585653,165.7905885142527,196.5693931747521,195.46493713232599,174.10224508051115,155.05070267993705,150.6186388622724,125.02286570871101
2023-02-06,120.6163440750101,124.62646528352597,116.42349916423446,112.97186953023218,125.89867631828147,149.8423738321663,199.78883195646446,234.73649494037303,231.83592879075678,212.75884332558275,200.54227638672705,185.20906148412107,182.9304742436897,179.81743869823583,196.097573387514,209.18851625096877,221.17723163899495,238.91420884062435,229.39132326838842,228.438440239753,223.50709698432414,193.70947814845496,186.46709297951287,165.8940853409056
2023-02-07,154.51053237175444,146.91039282505466,150.16463120116453,137.54990483877725,143.09841314210456,153.5138356817263,189.05900373857634,214.6458101668555,218.58754487935602,197.28834966622526,176.95504943131294,166.91820613546324,167.682237095992,167.76666331514284,176.77926343157245,191.20815703407735,204.43730903188347,228.84239189436883,238.8243352595577,235.25665146782057,203.86168087546287,185.45416864717743,177.56641329581117,169.98474499584847
2023-02-08,171.72678472526368,156.99109894154145,157.55717624057567,155.6662801910756,149.35235690078858,177.8930747798399,209.0002828160562,234.2814338877937,234.408619839147,208.59711895711746,185.61918314070743,174.60008047181103,167.08164241854766,162.57967818511358,175.11421004016114,194.87387266933308,217.3676974783198,232.00718486250514,252.96338605637592,229.56715871892882,206.61738338663508,188.06445484874735,177.54625981799353,158.65074482049158
2023-02-09,131.19043251001946,126.61724251373165,122.73889965430162,120.34474059044345,126.2679704764863,138.17573291778552,164.59692225186856,195.82827724318372,196.8883373097637,168.8727315915024,143.09429670075497,138.28140435130834,134.40184480446948,129.4646386240255,140.635114432194,161.28177180286875,178.27667112432562,199.6363112266855,213.98202990768647,203.1480085675068,184.9971997600398,166.70405952512837,159.4839191224787,142.62401423585086
2023-02-10,141.43903514331097,135.40513219182304,133.78835969996015,127.11790576194377,131.65467154723856,148.45471204344852,171.1275800912008,202.95353145569092,205.55106278951186,174.57524449853992,153.29640640167904,141.75804879320458,133.49601728066037,126.7589087458197,144.67592963189713,165.49056456817712,187.3778239017918,212.32484128439188,224.28575115962644,213.00927934358933,187.00068338318277,163.46046954246856,160.04117145832416,151.80538740443473
2023-02-11,143.66112577601328,140.3510858094291,139.3748597188754,133.54672854858623,138.99969699592884,137.0180941473356,148.13506802692282,161.84803483321892,167.9202736845411,152.66129184939578,136.98500933008697,132.71764415727128,123.79496535832837,112.03503333110359,130.11379910737122,147.65888036770517,170.2495570436577,192.2099127116856,201.07198510327555,193.30110308439532,168.8723528101944,151.54818598611155,141.69854148383462,129.58943099853062
2023-02-12,131.24487563590196,125.08830814657547,118.85868621558915,117.24150153941613,115.06034339284803,112.09271197941784,82.98469657780919,86.2216845286017,90.04823211820755,83.53908309652878,80.50471475875112,91.17002175916419,87.79680708137113,77.5847147035407,90.4611002524681,108.5612690922481,118.93814240032424,152.88345074948387,167.44641956632157,168.76088044119,161.14070743956825,142.2032571344073,136.1838053770577,131.2713639450629
2023-02-13,130.32918828312944,130.0501077743241,128.06160094971102,126.86940746912174,131.70630233303532,151.60206510884146,179.40539915763577,201.40196854744886,205.95897619979706,188.62551761507763,175.02078184428512,166.83113486460928,156.75325733202044,152.20734878287047,165.2029200032898,182.86588058413403,191.5936954820154,209.97272109969433,219.60047107257537,222.4585318492628,208.19897968292162,185.0120965114599,174.94397527835795,162.4637401506305
2023-02-14,142.60300224489032,139.30507212245342,135.9467447919952,133.07554764839736,138.549055029366,151.99309874493565,186.4589126400443,204.40898683108043,204.9518351634122,185.30469054768488,164.70814177863875,155.47792178284394,145.9638011295281,144.8395526712509,155.29433582215347,181.45823378781498,197.40230373416338,213.6818412235042,220.80866627540996,217.35280659594244,194.69339194365594,165.82224172234316,166.9037060725241,153.0001073788585
2023-02-15,134.55250382367308,130.0998498576393,126.84039118616477,123.77329331134538,128.73199469894155,141.8287906924273,171.42867641324636,191.5871852994525,192.9511445857035,171.1629905485597,152.9862947785026,138.46725715260868,130.8405464685851,126.34326098224423,138.92337642236882,153.75584036719414,168.19709476110808,194.3909248626477,208.9919027235323,206.25194298740746,189.40878999930325,174.77819215587044,161.52399514153998,149.78013428035518
